지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
108,1991-01-01,.8,-4.5,2400,3.2,0,9.05,,,,,.5,10.4,290,1842,7.3,290,1847,3.1,2696,-3.6,58,1930,72.8,4.8,1005.6,1020.2,2400,1014.6,624,1016.6,9.6,0,1330,.26,.89,,,,,,7.5,4.5,-.3,-7.6,,,,,,,,,,,,.2,
108,1991-01-02,-6.1,-7.9,820,-3.4,1346,,,,,,,13,270,1448,7.8,270,1320,3.3,2875,-18.5,25,1330,40.5,1.5,1012.9,1025.8,2352,1020.1,120,1024.2,9.6,8.4,1117,.2,.97,,,,,,1.3,0,-5,-11.8,,,,,,,,,,,,,
108,1991-01-03,-6.2,-9.7,452,-.4,1713,2.55,,,,,1.7,17.1,290,1723,10.3,290,1733,2.7,2372,-11.9,37,0,65.8,2.7,1011.5,1025.7,0,1017.6,1600,1022.7,9.6,4.6,1104,.38,1.39,3,1650,3,1650,8.4,4.8,3.1,-4.3,-11.8,,,,,,,,,,,,1.7,
108,1991-01-04,-8.5,-10.8,759,-5.3,1520,,,,,,,11,270,1413,6.7,270,1431,3.6,3130,-17.4,40,1053,48.8,1.6,1013.4,1026.6,949,1023,1421,1024.7,9.6,8.1,1230,1.13,5.69,,,2.8,0,,1.3,.3,-4.8,-15.3,,,,,,,,,,,,,
108,1991-01-05,-10.1,-12.8,547,-7,1541,,,,,,,11.8,320,1005,7.7,290,1320,3.8,3255,-18.9,41,1330,49.3,1.4,1011.9,1025.7,2340,1021.2,1355,1023.4,9.7,8.4,1200,1.09,5.88,,,1.3,0,,0,0,-5.8,-15.5,,,,,,,,,,,,,
108,1991-01-06,-8,-12.9,625,-2.6,1438,,,,,,,5.8,320,1520,3.5,290,1410,1.6,1344,-13.7,41,1653,64.3,2.2,1014.9,1027.5,1048,1025,151,1026.3,9.7,8.1,1200,1.28,6.43,,,.7,0,,1,1.8,-5.8,-13.5,,,,,,,,,,,,.3,
108,1991-01-07,-4.3,-7.4,2400,-.7,1453,7.97,,,,,.4,10,270,1608,7.2,290,1730,3,2576,-8.6,54,308,72.5,3.3,1010.3,1026.1,0,1018.6,1328,1021.6,9.7,2.8,1400,.93,2.72,2.6,1213,2.6,1213,2.3,6.3,2.9,-2.9,-10.3,,,,,,,,,,,,.1,
108,1991-01-08,-7.3,-11.1,815,-3.9,1530,,,,,,,7.9,270,1719,5.3,270,1720,2.7,2293,-13.6,43,1455,62.8,2.2,1011.8,1024.5,1017,1021.4,1438,1023.1,9.7,7.9,1207,1.35,7.43,,,1.5,0,,0,0,-4.4,-13.9,,,,,,,,,,,,,
108,1991-01-09,-5.5,-10.6,759,-.2,1530,,,,,,,7,270,1550,4.7,270,1601,1.5,1330,-10.9,44,1430,67.8,2.7,1012.8,1025.7,946,1022.8,1517,1024.1,9.7,7.5,1118,1.19,5.79,,,1,0,,1.3,.3,-5.1,-15.3,,,,,,,,,,,,0,
108,1991-01-10,-1.4,-4.1,2400,1.7,1323,1.33,,,,,0,8.2,290,1353,5.7,290,1450,1.3,1102,-7.1,43,1313,66.5,3.7,1011.2,1023.7,0,1020.7,1410,1022.3,9.7,6.6,1150,1.11,5.72,,,.2,0,,6,1.3,-2.3,-8.6,,,,,,,,,,,,,
